run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
0,0.33183593750000007,23.0,4.07421875,0.206259765625,Reactive,0.0522
1,0.3681640625,23.0,4.07421875,0.206259765625,Reactive,0.057
2,0.33183593750000007,56.0,4.07421875,0.206259765625,Reactive,0.0858
3,0.33183593750000007,23.0,2.18359375,0.206259765625,Reactive,0.0608
4,0.33183593750000007,23.0,4.07421875,0.270830078125,Reactive,0.052
5,0.33183593750000007,56.0,2.18359375,0.270830078125,Reactive,0.0976
6,0.3681640625,23.0,2.18359375,0.270830078125,Reactive,0.0466
7,0.3681640625,56.0,4.07421875,0.270830078125,Reactive,0.0912
8,0.3681640625,56.0,2.18359375,0.206259765625,Reactive,0.0906
9,0.3681640625,56.0,2.18359375,0.270830078125,Reactive,0.0862
10,0.6318359375,43.0,2.07421875,0.061259765625,Reactive,0.0866
11,0.6681640625,43.0,2.07421875,0.061259765625,Reactive,0.0896
12,0.6318359375,36.0,2.07421875,0.061259765625,Reactive,0.0848
13,0.6318359375,43.0,4.18359375,0.061259765625,Reactive,0.083
14,0.6318359375,43.0,2.07421875,0.125830078125,Reactive,0.0642
15,0.6318359375,36.0,4.18359375,0.125830078125,Reactive,0.074
16,0.6681640625,43.0,4.18359375,0.125830078125,Reactive,0.0808
17,0.6681640625,36.0,2.07421875,0.125830078125,Reactive,0.0644
18,0.6681640625,36.0,4.18359375,0.061259765625,Reactive,0.0714
19,0.6681640625,36.0,4.18359375,0.125830078125,Reactive,0.0774
20,0.7818359375000001,33.0,5.07421875,0.278759765625,Reactive,0.0554
21,0.5181640625000001,33.0,5.07421875,0.278759765625,Reactive,0.0562
22,0.7818359375000001,26.0,5.07421875,0.278759765625,Reactive,0.0596
23,0.7818359375000001,33.0,3.18359375,0.278759765625,Reactive,0.072
24,0.7818359375000001,33.0,5.07421875,0.053330078125,Reactive,0.0806
25,0.7818359375000001,26.0,3.18359375,0.053330078125,Reactive,0.0562
26,0.5181640625000001,33.0,3.18359375,0.053330078125,Reactive,0.076
27,0.5181640625000001,26.0,5.07421875,0.053330078125,Reactive,0.0608
28,0.5181640625000001,26.0,3.18359375,0.278759765625,Reactive,0.054
29,0.5181640625000001,26.0,3.18359375,0.053330078125,Reactive,0.0652
30,0.48183593750000003,53.0,3.07421875,0.133759765625,Reactive,0.0842
31,0.2181640625,53.0,3.07421875,0.133759765625,Reactive,0.0788
