run,crossing_mean,N,vision_range,stoch_variable,strategy,max_peds,mean
1,0.33183593750000007,4.70703125,4.07421875,0.206259765625,Free,10,0.0
2,0.33183593750000007,4.70703125,4.07421875,0.206259765625,Free,10,0.0
3,0.3681640625,4.70703125,4.07421875,0.206259765625,Free,10,0.0
4,0.3681640625,4.70703125,4.07421875,0.206259765625,Free,10,0.0
5,0.33183593750000007,27.40234375,4.07421875,0.206259765625,Free,10,0.0
6,0.33183593750000007,27.40234375,4.07421875,0.206259765625,Free,10,0.0
7,0.33183593750000007,4.70703125,2.18359375,0.206259765625,Free,10,0.0
8,0.33183593750000007,4.70703125,2.18359375,0.206259765625,Free,10,0.0
9,0.33183593750000007,4.70703125,4.07421875,0.270830078125,Free,10,0.0
10,0.33183593750000007,4.70703125,4.07421875,0.270830078125,Free,10,0.0
11,0.33183593750000007,27.40234375,2.18359375,0.270830078125,Free,10,0.0
12,0.33183593750000007,27.40234375,2.18359375,0.270830078125,Free,10,0.0
13,0.3681640625,4.70703125,2.18359375,0.270830078125,Free,10,0.0
14,0.3681640625,4.70703125,2.18359375,0.270830078125,Free,10,0.0
15,0.3681640625,27.40234375,4.07421875,0.270830078125,Free,10,0.0
16,0.3681640625,27.40234375,4.07421875,0.270830078125,Free,10,0.0
17,0.3681640625,27.40234375,2.18359375,0.206259765625,Free,10,0.0
18,0.3681640625,27.40234375,2.18359375,0.206259765625,Free,10,0.0
19,0.3681640625,27.40234375,2.18359375,0.270830078125,Free,10,0.0
20,0.3681640625,27.40234375,2.18359375,0.270830078125,Free,10,0.0
21,0.6318359375,18.70703125,2.07421875,0.061259765625,Free,10,0.0
22,0.6318359375,18.70703125,2.07421875,0.061259765625,Free,10,0.0
23,0.6681640625,18.70703125,2.07421875,0.061259765625,Free,10,0.0
24,0.6681640625,18.70703125,2.07421875,0.061259765625,Free,10,0.0
25,0.6318359375,13.40234375,2.07421875,0.061259765625,Free,10,0.0
26,0.6318359375,13.40234375,2.07421875,0.061259765625,Free,10,0.0
27,0.6318359375,18.70703125,4.18359375,0.061259765625,Free,10,0.0
28,0.6318359375,18.70703125,4.18359375,0.061259765625,Free,10,0.0
29,0.6318359375,18.70703125,2.07421875,0.125830078125,Free,10,0.0
30,0.6318359375,18.70703125,2.07421875,0.125830078125,Free,10,0.0
31,0.6318359375,13.40234375,4.18359375,0.125830078125,Free,10,0.0
32,0.6318359375,13.40234375,4.18359375,0.125830078125,Free,10,0.0
33,0.6681640625,18.70703125,4.18359375,0.125830078125,Free,10,0.0
34,0.6681640625,18.70703125,4.18359375,0.125830078125,Free,10,0.0
35,0.6681640625,13.40234375,2.07421875,0.125830078125,Free,10,0.0
36,0.6681640625,13.40234375,2.07421875,0.125830078125,Free,10,0.0
37,0.6681640625,13.40234375,4.18359375,0.061259765625,Free,10,0.0
38,0.6681640625,13.40234375,4.18359375,0.061259765625,Free,10,0.0
39,0.6681640625,13.40234375,4.18359375,0.125830078125,Free,10,0.0
40,0.6681640625,13.40234375,4.18359375,0.125830078125,Free,10,0.0
41,0.7818359375000001,11.70703125,5.07421875,0.278759765625,Free,10,0.0
42,0.7818359375000001,11.70703125,5.07421875,0.278759765625,Free,10,0.0
43,0.5181640625000001,11.70703125,5.07421875,0.278759765625,Free,10,0.0
44,0.5181640625000001,11.70703125,5.07421875,0.278759765625,Free,10,0.0
45,0.7818359375000001,6.40234375,5.07421875,0.278759765625,Free,10,0.0
46,0.7818359375000001,6.40234375,5.07421875,0.278759765625,Free,10,0.0
47,0.7818359375000001,11.70703125,3.18359375,0.278759765625,Free,10,0.0
48,0.7818359375000001,11.70703125,3.18359375,0.278759765625,Free,10,0.0
49,0.7818359375000001,11.70703125,5.07421875,0.053330078125,Free,10,0.0
50,0.7818359375000001,11.70703125,5.07421875,0.053330078125,Free,10,0.0
51,0.7818359375000001,6.40234375,3.18359375,0.053330078125,Free,10,0.0
52,0.7818359375000001,6.40234375,3.18359375,0.053330078125,Free,10,0.0
53,0.5181640625000001,11.70703125,3.18359375,0.053330078125,Free,10,0.0
54,0.5181640625000001,11.70703125,3.18359375,0.053330078125,Free,10,0.0
55,0.5181640625000001,6.40234375,5.07421875,0.053330078125,Free,10,0.0
56,0.5181640625000001,6.40234375,5.07421875,0.053330078125,Free,10,0.0
57,0.5181640625000001,6.40234375,3.18359375,0.278759765625,Free,10,0.0
58,0.5181640625000001,6.40234375,3.18359375,0.278759765625,Free,10,0.0
59,0.5181640625000001,6.40234375,3.18359375,0.053330078125,Free,10,0.0
60,0.5181640625000001,6.40234375,3.18359375,0.053330078125,Free,10,0.0
