run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
0,0.3318359375,23.0,4.07421875,0.206259765625,Reactive,0.0562
1,0.3681640625,23.0,4.07421875,0.206259765625,Reactive,0.0524
2,0.3318359375,56.0,4.07421875,0.206259765625,Reactive,0.083
3,0.3318359375,23.0,2.18359375,0.206259765625,Reactive,0.0526
4,0.3318359375,23.0,4.07421875,0.270830078125,Reactive,0.0564
5,0.3318359375,56.0,2.18359375,0.270830078125,Reactive,0.0896
6,0.3681640625,23.0,2.18359375,0.270830078125,Reactive,0.0592
7,0.3681640625,56.0,4.07421875,0.270830078125,Reactive,0.0822
8,0.3681640625,56.0,2.18359375,0.206259765625,Reactive,0.0806
9,0.3681640625,56.0,2.18359375,0.270830078125,Reactive,0.0876
10,0.6318359375,43.0,2.07421875,0.061259765625,Reactive,0.0812
11,0.6681640625,43.0,2.07421875,0.061259765625,Reactive,0.0916
12,0.6318359375,36.0,2.07421875,0.061259765625,Reactive,0.078
13,0.6318359375,43.0,4.18359375,0.061259765625,Reactive,0.0816
14,0.6318359375,43.0,2.07421875,0.125830078125,Reactive,0.066
15,0.6318359375,36.0,4.18359375,0.125830078125,Reactive,0.0878
16,0.6681640625,43.0,4.18359375,0.125830078125,Reactive,0.0914
17,0.6681640625,36.0,2.07421875,0.125830078125,Reactive,0.0854
18,0.6681640625,36.0,4.18359375,0.061259765625,Reactive,0.0688
19,0.6681640625,36.0,4.18359375,0.125830078125,Reactive,0.0716
20,0.7818359375,33.0,5.07421875,0.278759765625,Reactive,0.0712
21,0.5181640625,33.0,5.07421875,0.278759765625,Reactive,0.0722
22,0.7818359375,26.0,5.07421875,0.278759765625,Reactive,0.058
23,0.7818359375,33.0,3.18359375,0.278759765625,Reactive,0.0514
24,0.7818359375,33.0,5.07421875,0.053330078125,Reactive,0.067
25,0.7818359375,26.0,3.18359375,0.053330078125,Reactive,0.063
26,0.5181640625,33.0,3.18359375,0.053330078125,Reactive,0.0692
27,0.5181640625,26.0,5.07421875,0.053330078125,Reactive,0.0552
28,0.5181640625,26.0,3.18359375,0.278759765625,Reactive,0.0648
29,0.5181640625,26.0,3.18359375,0.053330078125,Reactive,0.0664
30,0.4818359375,53.0,3.07421875,0.133759765625,Reactive,0.085
31,0.2181640625,53.0,3.07421875,0.133759765625,Reactive,0.0852
32,0.4818359375,46.0,3.07421875,0.133759765625,Reactive,0.0686
33,0.4818359375,53.0,5.18359375,0.133759765625,Reactive,0.0792
34,0.4818359375,53.0,3.07421875,0.198330078125,Reactive,0.087
