# This is a generated file to store info about the model
# This header might contain more information if we actually changing parameters
agent_type,unique_id,time_spent
Pedestrian,7,49
Pedestrian,9,48
Pedestrian,11,49
Car,8,58
Car,10,57
Car,13,54
Car,18,49
Car,22,43
Car,15,55
Car,25,42
Car,19,50
Car,21,49
Car,27,42
Car,24,47
Car,31,40
Car,28,44
Car,33,40
Car,30,44
Car,35,39
Car,37,38
Car,38,37
Car,41,37
Car,42,35
Car,43,35
Car,44,34
Car,46,33
Car,47,32
Car,48,32
Car,50,31
Car,51,29
Car,55,27
Car,59,21
Car,57,25
Car,66,15
Car,61,21
Car,63,21
Car,65,21
Car,68,19
Car,72,15
Car,70,19
Car,74,15
Car,76,15
Car,78,15
Car,79,15
Car,81,15
Car,84,15
Car,86,15
Car,87,15
Pedestrian,12,127
Pedestrian,14,126
Pedestrian,16,124
Pedestrian,17,124
Pedestrian,20,121
Pedestrian,23,117
Pedestrian,26,115
Pedestrian,32,111
Pedestrian,29,114
Pedestrian,36,107
Pedestrian,34,111
Pedestrian,40,106
Pedestrian,39,108
Pedestrian,45,102
Pedestrian,49,97
Pedestrian,53,93
Pedestrian,52,96
Pedestrian,56,91
Pedestrian,54,95
Pedestrian,58,90
Pedestrian,60,89
Pedestrian,64,85
Pedestrian,62,88
Pedestrian,67,83
Pedestrian,71,80
Pedestrian,69,82
Pedestrian,73,79
Pedestrian,75,79
Pedestrian,77,78
Pedestrian,80,76
Pedestrian,82,75
Pedestrian,83,75
Pedestrian,85,74
Pedestrian,89,71
Pedestrian,88,73
Pedestrian,92,70
Pedestrian,100,56
Pedestrian,103,54
Pedestrian,104,54
Pedestrian,106,53
Pedestrian,107,52
Pedestrian,108,52
Pedestrian,112,49
Pedestrian,115,49
Pedestrian,117,48
Pedestrian,119,48
Car,90,94
Car,91,94
Car,93,94
Car,94,92
Car,96,89
Car,95,93
Car,97,88
Car,101,83
Car,98,87
Car,111,72
Car,99,87
Car,114,71
Car,102,86
Car,105,84
Car,121,68
Car,109,82
Car,126,63
Car,129,59
Car,110,82
Car,131,58
Car,113,82
Car,134,53
Car,116,80
Car,136,51
Car,140,48
Car,118,81
Car,120,80
Car,153,26
Car,155,26
Car,156,23
Car,158,24
Car,160,23
Car,162,22
Car,163,21
Car,165,20
Car,167,18
Car,168,16
Car,170,15
Car,171,15
Car,173,15
Car,175,15
Car,176,15
Car,177,15
Car,178,15
Car,180,15
Car,181,15
Car,182,15
Pedestrian,122,128
Pedestrian,123,127
Pedestrian,124,127
Pedestrian,125,125
Pedestrian,127,125
Pedestrian,130,120
Pedestrian,128,124
Pedestrian,133,118
Pedestrian,132,121
Pedestrian,138,111
Pedestrian,135,117
Pedestrian,141,107
Pedestrian,137,116
Pedestrian,143,106
Pedestrian,139,115
Pedestrian,145,104
Pedestrian,142,112
Pedestrian,147,101
Pedestrian,144,109
Pedestrian,150,97
Pedestrian,146,107
Pedestrian,152,96
Pedestrian,148,106
Pedestrian,159,92
Pedestrian,149,105
Pedestrian,166,86
Pedestrian,151,104
Pedestrian,169,83
Pedestrian,154,103
Pedestrian,172,82
Pedestrian,157,101
Pedestrian,174,81
Pedestrian,161,99
Pedestrian,179,76
Pedestrian,164,98
Pedestrian,184,71
Pedestrian,198,51
Pedestrian,195,55
Pedestrian,200,50
Pedestrian,203,48
Pedestrian,205,49
Pedestrian,208,48
Pedestrian,210,49
Car,183,94
Car,185,94
Car,186,94
Car,187,92
Car,190,87
Car,192,82
Car,188,93
Car,189,92
Car,194,81
Car,191,91
Car,197,81
Car,193,86
Car,196,84
Car,201,79
Car,204,77
Car,199,83
Car,207,76
Car,202,82
Car,209,76
Car,214,71
Car,206,82
Car,211,75
Car,220,64
Car,221,64
Car,215,75
Car,224,63
Car,217,75
Car,241,25
Car,239,27
Car,243,26
Car,246,22
Car,245,25
Car,248,23
Car,247,25
Car,252,23
Car,254,21
