# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 5000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
0,Car,18,221
0,Car,19,219
0,Car,42,150
0,Car,50,123
0,Pedestrian,12,266
0,Pedestrian,10,270
0,Pedestrian,11,269
0,Pedestrian,7,273
0,Pedestrian,13,280
0,Pedestrian,8,280
0,Pedestrian,9,284
0,Pedestrian,38,252
0,Pedestrian,31,269
0,Pedestrian,32,251
0,Pedestrian,28,283
0,Pedestrian,17,257
0,Pedestrian,14,307
0,Pedestrian,35,301
0,Pedestrian,20,265
0,Pedestrian,16,264
0,Pedestrian,23,264
0,Pedestrian,33,273
0,Pedestrian,37,294
0,Pedestrian,51,249
0,Pedestrian,22,266
0,Pedestrian,21,264
0,Pedestrian,26,274
0,Pedestrian,30,269
0,Pedestrian,52,316
0,Pedestrian,43,333
0,Pedestrian,27,281
0,Pedestrian,48,341
0,Pedestrian,44,259
0,Pedestrian,57,305
0,Pedestrian,24,262
0,Pedestrian,39,274
0,Pedestrian,40,274
0,Pedestrian,25,351
0,Pedestrian,58,299
0,Pedestrian,15,355
0,Pedestrian,45,360
0,Pedestrian,29,274
0,Pedestrian,41,334
0,Pedestrian,34,408
0,Pedestrian,55,329
0,Pedestrian,82,58
0,Pedestrian,47,303
0,Pedestrian,46,303
0,Pedestrian,56,336
0,Pedestrian,36,363
0,Pedestrian,49,376
0,Pedestrian,61,326
0,Pedestrian,54,361
0,Car,65,295
0,Car,64,302
0,Car,84,131
0,Car,92,120
0,Pedestrian,62,267
0,Pedestrian,53,396
0,Pedestrian,59,299
0,Pedestrian,60,257
0,Pedestrian,77,261
0,Pedestrian,70,251
0,Pedestrian,69,261
0,Pedestrian,73,255
0,Pedestrian,63,339
0,Pedestrian,76,276
0,Pedestrian,67,280
0,Pedestrian,78,292
0,Pedestrian,80,280
0,Pedestrian,85,280
0,Pedestrian,75,261
0,Pedestrian,131,20
0,Pedestrian,71,255
0,Pedestrian,72,255
0,Pedestrian,81,268
0,Pedestrian,95,252
0,Pedestrian,91,251
0,Pedestrian,93,254
0,Pedestrian,94,263
0,Pedestrian,74,286
0,Pedestrian,100,265
0,Pedestrian,96,263
0,Pedestrian,98,270
0,Pedestrian,86,290
0,Pedestrian,88,279
0,Pedestrian,68,280
0,Pedestrian,83,291
0,Pedestrian,89,321
0,Pedestrian,79,280
0,Pedestrian,87,288
0,Pedestrian,66,301
0,Pedestrian,102,292
0,Pedestrian,97,306
0,Pedestrian,90,328
0,Pedestrian,101,305
0,Car,117,253
0,Car,124,204
0,Car,112,305
0,Car,144,130
0,Pedestrian,111,273
0,Pedestrian,108,264
0,Pedestrian,103,265
0,Pedestrian,115,353
0,Pedestrian,110,262
0,Pedestrian,113,254
0,Pedestrian,109,259
0,Pedestrian,99,339
0,Pedestrian,107,259
0,Pedestrian,114,262
0,Pedestrian,106,284
0,Pedestrian,104,282
0,Pedestrian,123,257
0,Pedestrian,120,259
0,Pedestrian,118,261
0,Pedestrian,105,281
0,Pedestrian,127,264
0,Pedestrian,119,271
0,Pedestrian,116,270
0,Pedestrian,138,261
0,Pedestrian,133,289
0,Pedestrian,135,276
0,Pedestrian,126,289
0,Pedestrian,130,307
0,Pedestrian,122,295
0,Pedestrian,121,260
0,Pedestrian,125,260
0,Pedestrian,137,265
0,Pedestrian,142,279
0,Pedestrian,148,253
0,Pedestrian,150,250
0,Pedestrian,152,269
0,Pedestrian,132,270
0,Pedestrian,136,270
0,Pedestrian,129,280
0,Pedestrian,143,293
0,Pedestrian,151,276
0,Pedestrian,128,275
0,Pedestrian,134,281
0,Pedestrian,139,312
0,Pedestrian,141,309
0,Pedestrian,140,329
0,Pedestrian,147,304
0,Pedestrian,157,262
0,Pedestrian,153,293
0,Pedestrian,184,2
0,Pedestrian,149,306
0,Pedestrian,154,297
0,Pedestrian,159,251
0,Pedestrian,155,257
0,Pedestrian,156,263
0,Pedestrian,146,333
0,Pedestrian,145,317
0,Pedestrian,158,284
0,Car,160,267
0,Car,161,248
0,Car,169,219
0,Car,176,166
0,Car,193,122
0,Pedestrian,162,273
0,Pedestrian,177,247
0,Pedestrian,168,263
0,Pedestrian,163,257
0,Pedestrian,172,262
0,Pedestrian,173,264
0,Pedestrian,171,295
0,Pedestrian,167,300
0,Pedestrian,196,248
0,Pedestrian,201,266
0,Pedestrian,180,266
0,Pedestrian,191,267
0,Pedestrian,170,261
0,Pedestrian,198,260
0,Pedestrian,166,254
0,Pedestrian,192,275
0,Pedestrian,174,262
0,Pedestrian,203,281
0,Pedestrian,202,268
0,Pedestrian,178,313
0,Pedestrian,183,289
0,Pedestrian,195,277
0,Pedestrian,186,289
0,Pedestrian,165,274
0,Pedestrian,175,331
0,Pedestrian,181,283
0,Pedestrian,205,282
0,Pedestrian,206,281
0,Pedestrian,185,298
0,Pedestrian,204,289
0,Pedestrian,190,344
0,Pedestrian,207,285
0,Pedestrian,200,308
0,Pedestrian,179,340
0,Pedestrian,188,308
0,Pedestrian,164,301
0,Pedestrian,210,266
0,Pedestrian,182,391
0,Pedestrian,208,286
0,Pedestrian,209,271
0,Pedestrian,194,317
0,Pedestrian,199,329
0,Pedestrian,187,334
0,Pedestrian,214,272
0,Pedestrian,189,328
0,Pedestrian,217,256
0,Pedestrian,216,262
0,Pedestrian,212,291
0,Car,197,378
0,Pedestrian,220,280
0,Car,226,219
0,Car,237,150
0,Pedestrian,223,256
0,Pedestrian,221,265
0,Car,251,122
0,Pedestrian,213,256
0,Pedestrian,224,251
0,Pedestrian,218,248
0,Pedestrian,215,258
0,Pedestrian,219,260
0,Pedestrian,225,287
0,Pedestrian,211,270
0,Pedestrian,228,322
0,Pedestrian,233,261
0,Pedestrian,222,284
0,Pedestrian,230,281
0,Pedestrian,235,268
0,Pedestrian,236,269
0,Pedestrian,240,266
0,Pedestrian,244,254
0,Pedestrian,243,260
0,Pedestrian,246,254
0,Pedestrian,250,257
0,Pedestrian,253,258
0,Pedestrian,257,251
0,Pedestrian,232,289
0,Pedestrian,239,253
0,Pedestrian,249,268
0,Pedestrian,241,270
0,Pedestrian,254,270
0,Pedestrian,256,275
0,Pedestrian,245,304
0,Pedestrian,258,259
0,Pedestrian,231,312
0,Pedestrian,242,349
0,Pedestrian,234,321
0,Pedestrian,247,305
0,Pedestrian,229,287
0,Pedestrian,238,307
0,Pedestrian,227,278
0,Pedestrian,255,310
0,Pedestrian,264,273
0,Pedestrian,259,291
0,Pedestrian,252,314
0,Pedestrian,248,353
0,Pedestrian,266,266
0,Pedestrian,267,265
0,Car,271,257
0,Car,284,171
0,Car,278,219
0,Car,296,127
0,Pedestrian,260,268
0,Pedestrian,261,262
0,Pedestrian,265,266
0,Pedestrian,263,292
0,Pedestrian,262,265
0,Car,314,265
0,Pedestrian,292,262
0,Pedestrian,272,268
0,Pedestrian,288,379
0,Pedestrian,273,295
0,Pedestrian,294,392
0,Pedestrian,283,298
0,Pedestrian,285,304
0,Pedestrian,297,351
0,Pedestrian,276,337
0,Pedestrian,279,338
0,Car,306,469
0,Pedestrian,298,252
0,Pedestrian,282,324
0,Pedestrian,290,312
0,Pedestrian,311,506
0,Car,322,461
0,Pedestrian,277,340
0,Pedestrian,281,318
0,Pedestrian,301,273
0,Pedestrian,308,522
0,Pedestrian,312,382
0,Pedestrian,319,500
0,Pedestrian,280,556
0,Pedestrian,287,548
0,Pedestrian,316,513
0,Pedestrian,320,504
0,Pedestrian,274,554
0,Pedestrian,313,531
0,Pedestrian,270,363
0,Pedestrian,317,529
0,Pedestrian,269,343
0,Pedestrian,295,572
0,Pedestrian,304,372
0,Pedestrian,291,652
0,Pedestrian,310,565
0,Pedestrian,318,543
0,Pedestrian,268,355
0,Pedestrian,307,586
0,Pedestrian,363,7
0,Pedestrian,293,524
0,Pedestrian,303,409
0,Pedestrian,299,546
0,Pedestrian,286,324
0,Pedestrian,370,2
0,Pedestrian,275,621
0,Pedestrian,289,650
0,Pedestrian,315,280
0,Pedestrian,302,553
0,Pedestrian,309,516
0,Pedestrian,300,504
0,Pedestrian,305,566
0,Car,323,601
