# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 5000
# Crowdedness: Unkown?
iteration,pedestrian_count,car_count,mid_section_count,pedestrians_left,cars_left
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,11,0,0,0,0
0,11,1,0,0,0
0,11,1,0,0,0
0,11,1,0,0,0
0,11,1,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,11,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,13,2,0,0,0
0,13,2,0,0,0
0,13,2,0,0,0
0,14,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,18,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,20,2,0,0,0
0,21,2,0,0,0
0,21,2,0,0,0
0,21,2,1,0,0
0,22,2,1,0,0
0,22,2,2,0,0
0,22,2,2,0,0
0,22,2,3,0,0
0,23,2,3,0,0
0,23,2,3,0,0
0,23,2,3,0,0
0,23,2,3,0,0
0,23,2,3,0,0
0,24,2,3,0,0
0,24,2,3,0,0
0,25,2,3,0,0
0,25,2,3,0,0
0,26,2,3,0,0
0,26,2,3,0,0
0,26,2,3,0,0
0,26,2,3,0,0
0,26,2,3,0,0
0,27,2,3,0,0
0,27,2,3,0,0
0,28,2,3,0,0
0,29,2,3,0,0
0,29,2,3,0,0
0,30,2,4,0,0
0,31,2,5,0,0
0,32,2,5,0,0
0,32,2,5,0,0
0,32,2,6,0,0
0,32,2,6,0,0
0,32,2,6,0,0
0,32,2,6,0,0
0,32,2,6,0,0
0,32,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,2,6,0,0
0,33,3,6,0,0
0,33,3,6,0,0
0,34,3,7,0,0
0,34,3,7,0,0
0,35,3,7,0,0
0,36,3,7,0,0
0,36,3,7,0,0
0,37,3,7,0,0
0,37,3,7,0,0
0,37,3,8,0,0
0,37,3,8,0,0
0,37,3,8,0,0
0,37,3,8,0,0
0,37,3,8,0,0
0,37,3,8,0,0
0,38,3,8,0,0
0,39,3,8,0,0
0,39,3,8,0,0
0,39,3,8,0,0
0,39,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,3,8,0,0
0,40,4,8,0,0
0,41,4,8,0,0
0,41,4,8,0,0
0,41,4,8,0,0
0,41,4,8,0,0
0,41,4,8,0,0
0,41,4,8,0,0
0,41,4,8,0,0
0,42,4,8,0,0
0,42,4,8,0,0
0,42,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,43,4,8,0,0
0,44,4,8,0,0
0,46,4,8,0,0
0,46,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,47,4,8,0,0
0,48,4,8,0,0
0,48,4,8,0,0
0,48,4,8,0,0
0,50,4,8,0,0
0,50,4,8,0,0
0,50,4,8,0,0
0,51,4,8,0,0
0,51,4,8,0,0
0,51,4,8,0,0
0,51,4,8,0,0
0,51,4,8,0,0
0,51,4,8,0,0
0,52,4,8,0,0
0,52,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,8,0,0
0,53,4,7,0,0
0,53,4,7,0,0
0,53,4,1,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,4,0,0,0
0,53,3,0,0,1
0,53,3,0,0,0
0,53,2,0,0,1
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,0,0,0
0,53,2,3,0,0
0,53,3,5,0,0
0,53,3,6,0,0
0,53,3,6,0,0
0,53,3,6,0,0
0,53,4,7,0,0
0,53,4,7,0,0
0,53,4,7,0,0
0,53,4,4,0,0
0,53,4,5,0,0
0,53,4,11,0,0
0,53,4,12,0,0
0,53,4,13,0,0
0,53,3,13,0,1
0,53,3,13,0,0
0,53,3,13,0,0
0,53,3,14,0,0
0,53,2,15,0,1
0,53,2,10,0,0
0,53,2,12,0,0
0,53,2,12,0,0
