# This is a generated file to store info about the model
# Light strategy: Free
# Timesteps of each simulation: 7000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
0,Car,7,120
0,Car,14,120
0,Car,15,121
0,Car,16,120
0,Car,17,131
0,Pedestrian,10,264
0,Pedestrian,12,264
0,Pedestrian,8,245
0,Pedestrian,13,246
0,Pedestrian,11,245
0,Pedestrian,9,259
0,Car,18,121
0,Car,19,121
0,Car,25,121
0,Car,26,135
0,Pedestrian,20,253
0,Pedestrian,22,256
0,Pedestrian,21,265
0,Pedestrian,23,255
0,Pedestrian,24,255
0,Car,29,120
0,Car,33,120
0,Car,34,120
0,Car,35,121
0,Pedestrian,28,249
0,Pedestrian,32,249
0,Car,36,121
0,Pedestrian,30,265
0,Car,37,120
0,Car,38,130
0,Pedestrian,27,263
0,Car,39,120
0,Car,43,121
0,Pedestrian,31,262
0,Pedestrian,41,260
0,Pedestrian,42,251
0,Pedestrian,40,256
0,Car,46,121
0,Pedestrian,44,259
0,Pedestrian,45,258
0,Car,50,129
0,Car,53,120
0,Car,54,121
0,Pedestrian,47,250
0,Pedestrian,48,248
0,Pedestrian,49,258
0,Pedestrian,51,262
0,Car,55,121
0,Pedestrian,52,254
0,Car,58,120
0,Car,61,121
0,Pedestrian,56,250
0,Pedestrian,57,247
0,Pedestrian,59,253
0,Car,63,125
0,Pedestrian,60,263
0,Pedestrian,62,253
0,Car,64,121
0,Car,69,121
0,Car,70,120
0,Car,72,129
0,Pedestrian,66,244
0,Pedestrian,65,246
0,Pedestrian,67,251
0,Pedestrian,68,253
0,Pedestrian,71,269
0,Car,73,121
0,Car,76,120
0,Car,80,120
0,Car,81,133
0,Pedestrian,75,260
0,Pedestrian,77,267
0,Pedestrian,74,262
0,Car,82,120
0,Pedestrian,78,264
0,Car,83,121
0,Pedestrian,79,255
0,Car,85,120
0,Car,87,121
0,Pedestrian,84,268
0,Pedestrian,86,261
0,Pedestrian,88,265
0,Car,91,121
0,Pedestrian,89,258
0,Car,92,120
0,Car,93,121
0,Car,97,120
0,Car,99,121
0,Car,100,121
0,Car,101,127
0,Pedestrian,90,256
0,Pedestrian,94,261
0,Car,102,120
0,Pedestrian,95,263
0,Car,103,121
0,Pedestrian,98,258
0,Pedestrian,96,251
0,Car,105,120
0,Car,108,122
0,Car,109,121
0,Pedestrian,104,260
0,Pedestrian,107,263
0,Car,112,120
0,Car,113,121
0,Pedestrian,110,248
0,Pedestrian,106,252
0,Car,115,121
0,Car,116,120
0,Car,119,120
0,Pedestrian,111,263
0,Car,120,121
0,Pedestrian,114,263
0,Pedestrian,117,268
0,Car,123,122
0,Pedestrian,118,257
0,Car,124,121
0,Pedestrian,121,262
0,Car,126,121
0,Car,127,122
0,Car,130,120
0,Pedestrian,122,271
0,Pedestrian,125,252
0,Car,132,120
0,Pedestrian,128,270
0,Car,134,120
0,Car,135,120
0,Car,137,120
0,Car,140,121
0,Car,139,129
0,Pedestrian,131,259
0,Pedestrian,129,258
0,Pedestrian,133,261
0,Pedestrian,136,264
0,Car,141,120
0,Car,143,121
0,Car,144,120
0,Car,147,120
0,Pedestrian,138,251
0,Pedestrian,142,252
0,Car,149,125
0,Pedestrian,145,249
0,Pedestrian,146,250
0,Pedestrian,148,259
0,Car,150,123
0,Car,151,120
