# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 7000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
0,Pedestrian,14,260
0,Pedestrian,19,286
0,Car,32,219
0,Car,39,213
0,Car,9,409
0,Pedestrian,17,391
0,Pedestrian,8,422
0,Pedestrian,21,378
0,Pedestrian,18,420
0,Pedestrian,26,264
0,Pedestrian,58,347
0,Pedestrian,49,368
0,Pedestrian,30,308
0,Pedestrian,43,398
0,Pedestrian,44,378
0,Pedestrian,37,503
0,Pedestrian,38,279
0,Pedestrian,45,601
0,Pedestrian,36,532
0,Pedestrian,29,462
0,Pedestrian,41,551
0,Pedestrian,24,478
0,Pedestrian,51,592
0,Pedestrian,28,350
0,Pedestrian,35,489
0,Pedestrian,42,681
0,Pedestrian,23,473
0,Pedestrian,7,624
0,Pedestrian,20,445
0,Pedestrian,25,359
0,Pedestrian,16,362
0,Pedestrian,40,704
0,Pedestrian,48,668
0,Pedestrian,27,799
0,Pedestrian,13,400
0,Pedestrian,22,836
0,Pedestrian,56,644
0,Pedestrian,15,696
0,Pedestrian,76,426
0,Pedestrian,47,415
0,Pedestrian,66,547
0,Pedestrian,69,456
0,Pedestrian,53,448
0,Pedestrian,34,496
0,Pedestrian,90,411
0,Pedestrian,114,652
0,Pedestrian,108,710
0,Car,62,944
0,Pedestrian,105,557
0,Pedestrian,115,484
0,Car,71,1073
0,Pedestrian,75,716
0,Pedestrian,100,574
0,Pedestrian,146,835
0,Pedestrian,140,881
0,Pedestrian,143,882
0,Pedestrian,113,668
0,Car,95,1317
0,Pedestrian,154,955
0,Pedestrian,153,1075
0,Car,117,1988
0,Car,144,2065
0,Pedestrian,169,1296
0,Car,125,2578
0,Car,151,2892
0,Pedestrian,183,3090
0,Car,192,2897
0,Car,171,3433
0,Pedestrian,152,3369
0,Pedestrian,61,1159
0,Car,202,3057
0,Pedestrian,52,1253
0,Car,196,3626
0,Car,205,3047
0,Pedestrian,182,3626
0,Pedestrian,179,4705
0,Car,206,3115
0,Pedestrian,204,3970
0,Pedestrian,127,4435
0,Pedestrian,190,4658
0,Pedestrian,81,6066
0,Car,209,3775
1,Pedestrian,10,254
1,Pedestrian,9,269
1,Pedestrian,8,272
1,Pedestrian,11,263
1,Pedestrian,7,281
1,Pedestrian,14,253
1,Car,19,243
1,Pedestrian,16,278
1,Pedestrian,13,306
1,Car,30,220
1,Pedestrian,12,331
1,Pedestrian,15,262
1,Pedestrian,17,281
1,Pedestrian,23,282
1,Pedestrian,35,315
1,Pedestrian,39,298
1,Pedestrian,20,289
1,Pedestrian,44,346
1,Pedestrian,24,295
1,Pedestrian,27,377
1,Pedestrian,18,298
1,Pedestrian,36,278
1,Pedestrian,38,306
1,Pedestrian,25,321
1,Pedestrian,33,314
1,Pedestrian,43,364
1,Pedestrian,22,313
1,Pedestrian,37,330
1,Pedestrian,34,402
1,Pedestrian,49,359
1,Pedestrian,45,337
1,Pedestrian,46,373
1,Pedestrian,31,372
1,Pedestrian,40,331
1,Pedestrian,21,335
1,Pedestrian,47,341
1,Pedestrian,26,384
1,Pedestrian,41,391
1,Pedestrian,42,393
1,Car,67,342
1,Car,64,504
1,Car,86,449
1,Pedestrian,79,538
1,Pedestrian,50,310
1,Pedestrian,77,317
1,Pedestrian,32,263
1,Pedestrian,68,335
1,Pedestrian,82,560
1,Pedestrian,55,340
1,Pedestrian,63,372
1,Pedestrian,60,610
1,Pedestrian,54,558
1,Pedestrian,72,618
1,Pedestrian,80,589
1,Pedestrian,56,575
1,Pedestrian,53,366
1,Pedestrian,75,632
1,Pedestrian,74,648
1,Pedestrian,78,431
1,Pedestrian,66,695
1,Pedestrian,59,432
1,Pedestrian,48,441
1,Pedestrian,73,509
1,Car,92,743
1,Pedestrian,103,321
1,Car,112,674
1,Pedestrian,98,571
1,Pedestrian,118,653
1,Pedestrian,107,311
1,Pedestrian,29,571
1,Pedestrian,87,315
1,Pedestrian,119,288
1,Pedestrian,140,562
1,Pedestrian,142,560
1,Pedestrian,88,331
1,Pedestrian,51,642
1,Pedestrian,156,519
1,Pedestrian,115,594
1,Pedestrian,117,682
