run,vision_angle,N,vision_range,Ek_w,Ok_w,Pk_w,Ak_w,Ik_w,speed_mean,speed_sd,gamma,max_density,crossing_mean,crossing_sd,max_peds,max_cars,spawn_rate_car,spawn_rate_pedes,wolf,sheep
0,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,9.427519713532954,9.934182075289263
1,219.12109375,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,9.946535662668696,8.826137793474048
2,141.97265625,15,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,2.209337442533159,5.654308026782879
3,141.97265625,3,4.08984375,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,9.78652531019151,5.997266111923526
4,141.97265625,3,4.07421875,1.0498046875,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,2.6542820355075936,3.4766087327665023
5,141.97265625,3,4.07421875,1.1767578125,0.8601562500000001,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,9.693593336045591,9.532619121745347
6,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.5320312500000001,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,9.435506621823137,2.6531801753203634
7,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.56640625,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,4.354519601594917,9.245657955288657
8,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.82578125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,5.405779167151454,9.218742704557705
9,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.10240234375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,5.060186012209726,7.210054903996552
10,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.039794921875,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,4.696318816963399,2.447127589572845
11,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8119140625000001,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,9.153958991958277,8.614299083440017
